ppg1,ppg2,ppg3
133048,304805,434098
132752,303703,433548
132332,302683,432931
132270,302579,432903
132389,302900,432990
132470,303113,433242
132599,303333,433237
132656,303598,433340
132734,303672,433554
132802,303972,433556
132916,304145,433923
132980,304328,433879
132953,304216,433862
132896,304093,433768
132918,304103,433577
132910,304089,433698
132948,304200,433761
132978,304209,433858
133043,304238,433892
133058,304493,433844
133071,304527,433821
133100,304507,433950
133105,304461,433909
133152,304840,434004
133188,304819,434054
133219,304983,434113
133264,305181,434248
133285,305296,434310
133293,305434,434398
133369,305419,434469
133371,305309,434212
133268,304702,433693
133034,303737,433116
132849,303121,432897
132795,303230,432785
132962,303526,433084
133132,303791,433301
133201,304165,433380
133320,304305,433444
133414,304443,433611
133469,304757,433783
133606,305005,433909
133655,305091,434092
133673,305067,433970
133646,304939,433928
133651,304802,433808
133704,304910,433791
133693,304943,433891
133748,305078,433805
133786,305120,433770
133796,305253,433920
133846,305300,434106
133868,305357,434188
133915,305426,434122
133968,305459,434226
134001,305562,434205
134016,305587,434243
134042,305651,434298
134094,305950,434266
134133,305952,434437
134107,305881,434456
134110,305732,434338
133977,304912,433817
133826,304207,433141
133675,303764,432789
133698,303651,432860
133730,303887,432927
133803,304097,433057
133865,304149,433144
133951,304356,433310
134001,304552,433400
134092,304803,433443
134156,305058,433646
134229,305135,433687
134221,305074,433826
134262,305004,433624
134308,305054,433708
134416,305195,433825
134467,305548,433987
134555,305673,434022
134674,305819,434254
134727,305812,434025
134747,305977,434244
134782,305976,434098
134800,306088,434210
134867,306302,434517
134982,306284,434530
135012,306472,434443
135072,306587,434537
135076,306527,434512
135088,306597,434641
135142,306488,434687
135131,306375,434424
134976,305618,433939
134890,304789,433279
134764,304310,433202
134760,304311,433110
134834,304597,433102
134895,304687,433355
134939,304844,433464
134987,304914,433480
135053,305110,433500
135090,305311,433647
135139,305436,433713
135202,305489,433875
135166,305322,433792
135193,305334,433605
135224,305256,433629
135263,305266,433607
135301,305369,433659
135356,305538,433763
135416,305637,433761
135444,305725,433948
135485,305912,433882
135512,305879,434108
135517,305919,434048
135532,305968,433967
135566,306133,434102
135585,306098,434055
135593,306289,434283
135649,306334,434206
